Simulation parameters;;;;NR;;k_off tau;;n_average;;Coverage;;NR_free
N_arms;;12;;;;;;;;;;
k_off;;1;;100;;0.878444;;1;;9.95E-05;;0.01
k_on_surface;;1.00E-04;;126.638;;1.00625;;1;;0.000126483;;0
k_on_solution;;1.00E-04;;160.372;;1.09431;;1;;0.000160465;;0
;;;;203.092;;0.939309;;1;;0.00020334;;0.000451826
;;;;257.191;;0.966082;;1;;0.000257387;;0.000744119
;;;;325.702;;1.0708;;1;;0.000325455;;0.00215555
;;;;412.463;;1.03193;;1;;0.000412425;;0
;;;;522.335;;0.986443;;1;;0.000522375;;0
;;;;661.474;;1.01463;;1;;0.00066138;;0.000716678
;;;;837.678;;1.0276;;1;;0.00083733;;0.000808951
;;;;1060.82;;1.0137;;1;;0.00106031;;0
;;;;1343.4;;1.00205;;1;;0.00134322;;0.000297255
;;;;1701.25;;1.00848;;1;;0.00170092;;0.000149466
;;;;2154.43;;0.980416;;1;;0.00215397;;0.000665924
;;;;2728.33;;0.998799;;1;;0.00272773;;0.000488715
;;;;3455.11;;1.02111;;1;;0.00345413;;3.11E-05
;;;;4375.48;;1.02759;;1.00023;;0.00437409;;0.000109559
;;;;5541.02;;1.02528;;1.00018;;0.00553833;;3.67E-06
;;;;7017.04;;1.02476;;1;;0.00701398;;5.46E-06
;;;;8886.24;;0.997353;;1.00011;;0.00888163;;0.000139335
;;;;11253.4;;0.993067;;1.00071;;0.0112468;;0.000120482
;;;;14251;;0.989151;;1.00105;;0.0142413;;7.20E-05
;;;;18047.2;;0.992078;;1.00105;;0.0180294;;1.21E-05
;;;;22854.6;;0.999434;;1.00145;;0.0228246;;0.000115453
;;;;28942.7;;0.995048;;1.00125;;0.0288968;;0.000161051
;;;;36652.4;;1.00448;;1.00178;;0.036596;;9.31E-05
;;;;46415.9;;0.995834;;1.00199;;0.0463055;;0.000148405
;;;;58780.2;;1.00865;;1.00263;;0.0586138;;5.38E-05
;;;;74438;;0.995523;;1.00346;;0.0741655;;4.07E-05
;;;;94266.8;;0.996158;;1.00471;;0.0938101;;7.26E-05
;;;;119378;;0.991287;;1.00625;;0.118625;;8.10E-05
;;;;151178;;0.993912;;1.00802;;0.149962;;0.000129034
;;;;191448;;0.990995;;1.01117;;0.189326;;8.98E-05
;;;;242446;;0.997927;;1.01471;;0.238947;;9.98E-05
;;;;307029;;0.997545;;1.02006;;0.300982;;0.00010443
;;;;388816;;0.998086;;1.02828;;0.378078;;0.000127356
;;;;492388;;1.00775;;1.0419;;0.472534;;0.000154884
;;;;623551;;1.02931;;1.06535;;0.585181;;0.00020485
;;;;789652;;1.07944;;1.11074;;0.710675;;0.00026377
;;;;1.00E+06;;1.20109;;1.20555;;0.829185;;0.000383
