Simulation parameters;;;;NR;;k_off tau;;n_average;;Coverage;;NR_free
N_arms;;12;;;;;;;;;;
k_off;;1;;100;;1.52163;;1.01724;;5.43E-05;;0.41
k_on_surface;;1.00E-04;;126.638;;0.940383;;1.04167;;6.89E-05;;0.407761
k_on_solution;;1.00E-08;;160.372;;0.734926;;1.03571;;8.72E-05;;0.457511
;;;;203.092;;1.221;;1.04386;;0.000110172;;0.414058
;;;;257.191;;1.02864;;1.04138;;0.000139117;;0.412889
;;;;325.702;;0.988615;;1.10909;;0.000176019;;0.438137
;;;;412.463;;1.24997;;1.09722;;0.000222035;;0.425403
;;;;522.335;;1.1039;;1.13542;;0.000281888;;0.373964
;;;;661.474;;1.20157;;1.14671;;0.000354202;;0.42099
;;;;837.678;;1.22389;;1.17787;;0.000445447;;0.351779
;;;;1060.82;;1.16988;;1.21892;;0.000558948;;0.380667
;;;;1343.4;;1.51519;;1.25619;;0.000704513;;0.3576
;;;;1701.25;;1.52874;;1.31995;;0.000880042;;0.32344
;;;;2154.43;;1.41582;;1.36142;;0.00110104;;0.272663
;;;;2728.33;;1.7748;;1.47468;;0.00136697;;0.284911
;;;;3455.11;;1.82269;;1.54416;;0.00171155;;0.246044
;;;;4375.48;;2.24757;;1.592;;0.00210855;;0.244654
;;;;5541.02;;2.3225;;1.70983;;0.00261201;;0.199245
;;;;7017.04;;2.56918;;1.77591;;0.00322921;;0.172158
;;;;8886.24;;2.88121;;1.89606;;0.00397567;;0.154198
;;;;11253.4;;3.28661;;1.98281;;0.00487659;;0.139101
;;;;14251;;3.53026;;2.1051;;0.00595416;;0.117397
;;;;18047.2;;4.1755;;2.22083;;0.00732709;;0.104516
;;;;22854.6;;4.49318;;2.33899;;0.00891683;;0.0891565
;;;;28942.7;;5.20092;;2.43699;;0.0109372;;0.0780046
;;;;36652.4;;5.82897;;2.57272;;0.0132762;;0.0705114
;;;;46415.9;;6.61574;;2.71321;;0.016146;;0.0567239
;;;;58780.2;;7.57591;;2.83832;;0.0196923;;0.0485055
;;;;74438;;8.61834;;2.96098;;0.0239909;;0.0427877
;;;;94266.8;;9.75503;;3.09173;;0.0294196;;0.0357161
;;;;119378;;11.2669;;3.22498;;0.0359168;;0.029785
;;;;151178;;13.1265;;3.35647;;0.0438706;;0.0253246
;;;;191448;;14.8303;;3.51264;;0.0533614;;0.0201214
;;;;242446;;17.3477;;3.64353;;0.0653877;;0.0176666
;;;;307029;;20.2143;;3.7771;;0.0800602;;0.0147382
;;;;388816;;23.6107;;3.92974;;0.0976901;;0.0124185
;;;;492388;;27.6039;;4.06494;;0.119859;;0.0103481
;;;;623551;;32.5818;;4.22334;;0.146367;;0.00871578
;;;;789652;;38.8832;;4.37349;;0.179313;;0.00711235
;;;;1.00E+06;;46.7921;;4.53175;;0.219312;;0.006128
