Simulation parameters;;;;NR;;k_off tau;;n_average;;Coverage;;NR_free
N_arms;;6;;;;;;;;;;
k_off;;1;;100;;1.05848;;1;;9.95E-05;;0.01
k_on_surface;;1.00E-04;;126.638;;0.899467;;1;;0.000126466;;0
k_on_solution;;1.00E-04;;160.372;;1.1174;;1;;0.00016043;;0
;;;;203.092;;0.839375;;1;;0.000203213;;0.000451826
;;;;257.191;;0.896063;;1;;0.000257307;;0.000744119
;;;;325.702;;0.944906;;1;;0.00032542;;0.00215555
;;;;412.463;;0.973838;;1;;0.000412358;;0
;;;;522.335;;0.983469;;1;;0.000522255;;0
;;;;661.474;;1.02528;;1;;0.000661276;;0.000716678
;;;;837.678;;1.0387;;1;;0.000837275;;0.000808951
;;;;1060.82;;0.92666;;1;;0.00106022;;0
;;;;1343.4;;1.06959;;1;;0.00134299;;0.000297255
;;;;1701.25;;1.0031;;1;;0.00170066;;0.000149466
;;;;2154.43;;1.01033;;1;;0.0021537;;0.000665924
;;;;2728.33;;1.00982;;1;;0.00272726;;0.000488715
;;;;3455.11;;0.993307;;1;;0.00345366;;3.11E-05
;;;;4375.48;;1.00593;;1;;0.00437335;;0.000109559
;;;;5541.02;;0.985507;;1;;0.00553794;;3.67E-06
;;;;7017.04;;1.00803;;1.00014;;0.0070131;;0.000290477
;;;;8886.24;;0.985667;;1.00023;;0.00888045;;0.000139335
;;;;11253.4;;0.987137;;1.00009;;0.0112456;;0.000387069
;;;;14251;;1.0086;;1.00028;;0.0142408;;0.000212385
;;;;18047.2;;0.997735;;1.00078;;0.0180302;;6.75E-05
;;;;22854.6;;0.998792;;1.0011;;0.0228237;;0.000115453
;;;;28942.7;;0.991877;;1.00156;;0.0288972;;0.000264704
;;;;36652.4;;1.00387;;1.00142;;0.0365898;;0.000174951
;;;;46415.9;;0.99707;;1.00225;;0.0463144;;0.000191493
;;;;58780.2;;0.986673;;1.00271;;0.0586216;;0.000121822
;;;;74438;;0.996454;;1.00332;;0.0741722;;0.000134745
;;;;94266.8;;0.994068;;1.00428;;0.0938639;;0.000263566
;;;;119378;;0.994481;;1.00544;;0.118681;;0.000139592
;;;;151178;;0.997637;;1.0074;;0.150043;;0.000201796
;;;;191448;;0.987687;;1.01007;;0.189483;;0.000157733
;;;;242446;;0.99482;;1.01301;;0.239247;;0.000219437
;;;;307029;;0.992338;;1.01808;;0.301484;;0.000247739
;;;;388816;;0.993625;;1.02572;;0.378934;;0.000273955
;;;;492388;;1.00363;;1.03835;;0.474073;;0.000333605
;;;;623551;;1.01873;;1.06005;;0.588035;;0.000405314
;;;;789652;;1.0656;;1.10246;;0.715875;;0.000506915
;;;;1.00E+06;;1.18495;;1.19416;;0.836609;;0.000754
