Simulation parameters;;;;NR;;k_off tau;;n_average;;Coverage;;NR_free
N_arms;;6;;;;;;;;;;
k_off;;100;;100;;0.924415;;1;;3.77E-05;;0.63
k_on_surface;;1.00E-02;;126.638;;1.69358;;1;;4.77E-05;;0.723622
k_on_solution;;1.00E-06;;160.372;;0.634167;;1.02899;;6.07E-05;;0.557279
;;;;203.092;;0.890876;;1.02817;;7.69E-05;;0.640557
;;;;257.191;;0.841911;;1.02151;;9.77E-05;;0.630625
;;;;325.702;;1.08207;;1.08696;;0.000123511;;0.616214
;;;;412.463;;1.09149;;1.06081;;0.000156665;;0.619359
;;;;522.335;;0.912843;;1.09223;;0.000199211;;0.569242
;;;;661.474;;1.15644;;1.10714;;0.000254833;;0.578215
;;;;837.678;;1.32664;;1.10089;;0.000320788;;0.557109
;;;;1060.82;;1.22389;;1.1295;;0.000408025;;0.556003
;;;;1343.4;;1.20061;;1.17;;0.000524783;;0.564538
;;;;1701.25;;1.33356;;1.22422;;0.000666112;;0.51859
;;;;2154.43;;1.52925;;1.27683;;0.000842814;;0.514026
;;;;2728.33;;1.44355;;1.29451;;0.00107962;;0.498962
;;;;3455.11;;1.54446;;1.38724;;0.0013693;;0.446327
;;;;4375.48;;1.71242;;1.4866;;0.00173886;;0.416978
;;;;5541.02;;2.00851;;1.5665;;0.00220692;;0.377191
;;;;7017.04;;2.23311;;1.61165;;0.00279499;;0.357136
;;;;8886.24;;2.37995;;1.70167;;0.00353561;;0.325361
;;;;11253.4;;2.83359;;1.79839;;0.00442479;;0.287413
;;;;14251;;3.14908;;1.88783;;0.00554806;;0.263071
;;;;18047.2;;3.50056;;1.99712;;0.00694795;;0.232236
;;;;22854.6;;3.89998;;2.12675;;0.00865095;;0.196093
;;;;28942.7;;4.54241;;2.21237;;0.0107528;;0.17575
;;;;36652.4;;5.18298;;2.32286;;0.0133757;;0.15318
;;;;46415.9;;5.73265;;2.43541;;0.0165869;;0.133206
;;;;58780.2;;6.49241;;2.5419;;0.0205393;;0.114922
;;;;74438;;7.51531;;2.63933;;0.0255156;;0.0981223
;;;;94266.8;;8.48341;;2.74766;;0.0314498;;0.0841213
;;;;119378;;9.67718;;2.84019;;0.0390131;;0.071627
;;;;151178;;11.1533;;2.95769;;0.0480203;;0.0613815
;;;;191448;;12.8611;;3.05008;;0.0594569;;0.0523546
;;;;242446;;14.7969;;3.15636;;0.073437;;0.0444849
;;;;307029;;17.2942;;3.25965;;0.0906662;;0.037964
;;;;388816;;20.1227;;3.35325;;0.112217;;0.0319934
;;;;492388;;23.7136;;3.45495;;0.138645;;0.0272453
;;;;623551;;28.1685;;3.5645;;0.170829;;0.0232471
;;;;789652;;33.2882;;3.65519;;0.211792;;0.0196293
;;;;1.00E+06;;40.4875;;3.76678;;0.261039;;0.016798
