Simulation parameters;;;;NR;;k_off tau;;n_average;;Coverage;;NR_free
N_arms;;6;;;;;;;;;;
k_off;;1;;100;;0.282829;;1;;1.10E-06;;0.99
k_on_surface;;1.00E-05;;126.638;;0.776984;;1;;1.25E-06;;0.992103
k_on_solution;;1.00E-10;;160.372;;0.160193;;1;;1.46E-06;;0.981293
;;;;203.092;;4.29032;;1;;1.71E-06;;0.995076
;;;;257.191;;0.450667;;1;;2.04E-06;;0.996112
;;;;325.702;;0.640497;;1;;2.46E-06;;0.984649
;;;;412.463;;0.863886;;1;;3.00E-06;;0.992727
;;;;522.335;;1.8008;;1;;3.66E-06;;0.986599
;;;;661.474;;0.698906;;1;;4.54E-06;;0.989418
;;;;837.678;;0.775393;;1;;5.62E-06;;0.994031
;;;;1060.82;;1.23818;;1;;6.95E-06;;0.991516
;;;;1343.4;;0.365042;;1;;8.81E-06;;0.994789
;;;;1701.25;;2.24003;;1.3;;1.11E-05;;0.992359
;;;;2154.43;;2.61704;;1;;1.42E-05;;0.994894
;;;;2728.33;;1.56556;;1;;1.79E-05;;0.993769
;;;;3455.11;;1.80349;;1.09524;;2.28E-05;;0.993343
;;;;4375.48;;1.2753;;1.12121;;2.98E-05;;0.991544
;;;;5541.02;;0.700835;;1.075;;3.83E-05;;0.99224
;;;;7017.04;;1.00254;;1.125;;5.04E-05;;0.993587
;;;;8886.24;;1.29214;;1.27381;;6.61E-05;;0.987959
;;;;11253.4;;1.00612;;1.19753;;8.94E-05;;0.99138
;;;;14251;;1.25617;;1.4569;;0.000122063;;0.988141
;;;;18047.2;;1.77639;;1.42941;;0.000168783;;0.986535
;;;;22854.6;;2.19272;;1.59402;;0.000240407;;0.983679
;;;;28942.7;;3.27497;;1.61808;;0.000348478;;0.980824
;;;;36652.4;;3.64128;;1.9071;;0.00051691;;0.971434
;;;;46415.9;;4.25775;;2.07751;;0.000824751;;0.964775
;;;;58780.2;;4.92741;;2.35884;;0.00134057;;0.945985
;;;;74438;;6.74414;;2.55897;;0.00222981;;0.923923
;;;;94266.8;;9.3666;;2.80586;;0.00373483;;0.887161
;;;;119378;;12.5252;;3.02296;;0.00628144;;0.840062
;;;;151178;;17.7625;;3.28416;;0.0103022;;0.776918
;;;;191448;;23.8796;;3.46007;;0.016464;;0.702823
;;;;242446;;31.952;;3.63888;;0.0247306;;0.629142
;;;;307029;;42.634;;3.78128;;0.0363919;;0.552016
;;;;388816;;55.3534;;3.91032;;0.0520813;;0.476533
;;;;492388;;70.3513;;4.03596;;0.0715725;;0.413353
;;;;623551;;89.2679;;4.13726;;0.0973395;;0.354176
;;;;789652;;112.882;;4.23081;;0.129983;;0.303597
;;;;1.00E+06;;142.343;;4.3298;;0.171207;;0.25876
